Date,Price,Open,High,Low,Vol.,Change %
19-Mar-15,"1,098.93","1,098.68","1,103.89","1,098.42",119.28M,0.03%
18-Mar-15,"1,098.63","1,110.48","1,111.05","1,098.09",90.05M,-1.07%
17-Mar-15,"1,110.50","1,108.22","1,114.83","1,105.78",77.70M,0.20%
16-Mar-15,"1,108.24","1,125.53","1,125.53","1,105.17",79.24M,-1.52%
15-Mar-15,"1,125.36","1,123.32","1,133.85","1,123.32",99.25M,0.46%
12-Mar-15,"1,120.18","1,120.37","1,125.57","1,120.17",75.17M,-0.02%
11-Mar-15,"1,120.39","1,132.19","1,132.38","1,120.38",84.01M,-1.05%
10-Mar-15,"1,132.29","1,135.97","1,142.17","1,132.29",118.32M,-0.34%
9-Mar-15,"1,136.14","1,135.70","1,137.23","1,132.44",93.38M,0.03%
8-Mar-15,"1,135.76","1,131.65","1,139.75","1,131.64",91.35M,0.38%
5-Mar-15,"1,131.47","1,122.57","1,131.50","1,122.20",94.00M,0.81%
4-Mar-15,"1,122.37","1,124.61","1,125.80","1,120.76",69.45M,-0.19%
3-Mar-15,"1,124.50","1,126.48","1,130.45","1,124.46",71.30M,-0.18%
2-Mar-15,"1,126.48","1,112.08","1,127.45","1,112.08",87.93M,1.30%
1-Mar-15,"1,112.06","1,114.27","1,119.04","1,110.32",70.48M,-0.21%
26-Feb-15,"1,114.42","1,124.07","1,124.07","1,114.29",101.24M,-0.86%
25-Feb-15,"1,124.06","1,136.48","1,137.92","1,123.99",78.07M,-1.10%
24-Feb-15,"1,136.51","1,141.90","1,141.95","1,136.49",59.69M,-0.47%
23-Feb-15,"1,141.83","1,139.99","1,148.51","1,139.99",172.11M,0.18%
22-Feb-15,"1,139.83","1,139.94","1,145.37","1,139.83",55.91M,0.00%
19-Feb-15,"1,139.87","1,146.23","1,150.88","1,139.73",101.73M,-0.56%
18-Feb-15,"1,146.25","1,132.46","1,146.39","1,132.46",91.54M,1.22%
17-Feb-15,"1,132.45","1,155.66","1,155.66","1,129.40",155.88M,-2.02%
16-Feb-15,"1,155.84","1,174.92","1,174.99","1,155.84",108.65M,-1.80%
15-Feb-15,"1,176.99","1,169.57","1,181.33","1,169.57",52.69M,0.62%
12-Feb-15,"1,169.77","1,168.05","1,169.85","1,160.36",97.80M,0.09%
11-Feb-15,"1,168.67","1,179.71","1,180.21","1,168.60",121.80M,-0.94%
10-Feb-15,"1,179.71","1,179.75","1,185.52","1,179.69",146.04M,0.10%
9-Feb-15,"1,178.58","1,182.98","1,183.48","1,178.51",105.49M,-0.47%
8-Feb-15,"1,184.15","1,179.14","1,187.09","1,179.14",84.19M,0.43%
5-Feb-15,"1,179.09","1,180.97","1,181.92","1,172.31",105.42M,-0.16%
4-Feb-15,"1,180.96","1,163.91","1,182.69","1,163.91",123.32M,1.55%
3-Feb-15,"1,162.96","1,145.55","1,163.11","1,145.26",169.83M,1.54%
2-Feb-15,"1,145.30","1,138.49","1,145.55","1,138.49",94.09M,0.56%
